node1	 label	node2	id
WikibaseItem	description	Internal link to another item. Item is further described here: https://www.wikidata.org/wiki/Wikidata:Glossary#Item	wikibaseItem-description-1
CommonsMedia	description	"References to files on Wikimedia Commons. During entry in the textfield the File namespace on Commons will be searched for matching entries. These files can be used both to illustrate the concepts in Wikidata and as an actual property value for inclusion on Wikipedia. "	commonsMedia-description
Time	description	This data type stores a date in Gregorian or Julian calendar	time-description-1
GlobeCoordinate	description	"A geographical position given as a latitude-longitude pair (in gms or decimal degrees) for a given globe (any stellar body). Globe defaults to Earth (globe: http://www.wikidata.org/entity/Q2)"	globeCoordinate-description-1
Quantity	description	"A Quantity value represents a decimal number, together with information about the uncertainty interval of this number, and a unit of measurement"	quantity-description-1
Monolingualtext	description	"A string that is not translated into other languages. This type of string is defined once and reused in all languages. Typical use is a geographically localized entity name written in the local language, an identifier of some kind, a chemical formula or a latin scientific name. See Help:Monolingual text languages for information about the language codes available for monolingual text values and how to request support for additional language codes. (Note that monolingual text also implies a single script system, which can make the string somewhat problematic.) "	monolingualtext-description-1
String	description	"Chain of characters, numbers and symbols that don't need to be translated into different languages or number formats. A string is not used for calculations. "	string-description-1
ExternalId	description	String that represents an identifier used in an external system. Will display as external link if a formatter URL (P1630) is defined.	externalId-description-1
Url	description	"A generalized URL that identifies some kind of external resource, perhaps a link to an external site of some kind, or an identifier used for lookup in some kind of specialized resource. "	url-description-1
WikibaseProperty	description	Internal link to a property (https://m.wikidata.org/wiki/Special:MyLanguage/Help:Properties)	property-description-1
TabularData	description	"Reference to tabular data file on Wikimedia Commons. During entry in the textfield the Data namespace on Commons will be searched for matching entries. "	tabularData-description-1
Math	description	Formatted string that displays as formula	mathDath-description-1
GeoShape	description	"Reference to map data file on Wikimedia Commons. During entry in the textfield the Data namespace on Wikimedia Commons will be searched for matching entries"	geoDhape-description-1
WikibaseLexeme	description	For statements on Lexemes that reference to an other Lexeme	wikibaseDexeme-description-1
WikibaseForm	description	For statements on Lexemes that reference Forms on other Lexemes in order to indicate their relation	wikibaseDorm-description-1
WikibaseSense	description	For statements on Lexemes that reference Senses on other Lexemes	wikibaseDense-description-1
MusicalNotation	description	Generated image in .png format that displays a musical score. Values for that data type are strings describing music following LilyPond syntax. 	musicalDotation-description-1
